Runtime,Released_Year,IMDB_Rating,Meta_score,No_of_Votes,Gross
142.0,1994.0,9.3,80.0,2343110,28341469.0
175.0,1972.0,9.2,100.0,1620367,134966411.0
152.0,2008.0,9.0,84.0,2303232,534858444.0
202.0,1974.0,9.0,90.0,1129952,57300000.0
96.0,1957.0,9.0,96.0,689845,4360000.0
201.0,2003.0,8.9,94.0,1642758,377845905.0
154.0,1994.0,8.9,94.0,1826188,107928762.0
195.0,1993.0,8.9,94.0,1213505,96898818.0
148.0,2010.0,8.8,74.0,2067042,292576195.0
139.0,1999.0,8.8,66.0,1854740,37030102.0
178.0,2001.0,8.8,92.0,1661481,315544750.0
142.0,1994.0,8.8,82.0,1809221,330252182.0
161.0,1966.0,8.8,90.0,688390,6100000.0
179.0,2002.0,8.7,87.0,1485555,342551365.0
136.0,1999.0,8.7,73.0,1676426,171479930.0
146.0,1990.0,8.7,90.0,1020727,46836394.0
124.0,1980.0,8.7,82.0,1159315,290475067.0
133.0,1975.0,8.7,83.0,918088,112000000.0
132.0,2019.0,8.6,96.0,552778,53367844.0
169.0,2014.0,8.6,74.0,1512360,188020017.0
130.0,2002.0,8.6,79.0,699256,7563397.0
125.0,2001.0,8.6,96.0,651376,10055859.0
169.0,1998.0,8.6,91.0,1235804,216540909.0
189.0,1999.0,8.6,61.0,1147794,136801374.0
116.0,1997.0,8.6,59.0,623629,57598247.0
127.0,1995.0,8.6,65.0,1445096,100125643.0
118.0,1991.0,8.6,85.0,1270197,130742922.0
121.0,1977.0,8.6,90.0,1231473,322740140.0
207.0,1954.0,8.6,98.0,315744,269061.0
122.0,2019.0,8.5,59.0,939252,335451311.0
106.0,2014.0,8.5,88.0,717585,13092000.0
112.0,2011.0,8.5,57.0,760360,13182281.0
130.0,2006.0,8.5,66.0,1190259,53089891.0
151.0,2006.0,8.5,85.0,1189773,132384315.0
150.0,2002.0,8.5,85.0,729603,32572577.0
155.0,2000.0,8.5,67.0,1341460,187705427.0
119.0,1998.0,8.5,62.0,1034705,6719864.0
106.0,1995.0,8.5,77.0,991208,23341568.0
110.0,1994.0,8.5,64.0,1035236,19501238.0
88.0,1994.0,8.5,88.0,942045,422783777.0
137.0,1991.0,8.5,75.0,995506,204843350.0
155.0,1988.0,8.5,80.0,230763,11990401.0
116.0,1985.0,8.5,87.0,1058081,210609762.0
165.0,1968.0,8.5,80.0,302844,5321508.0
109.0,1960.0,8.5,97.0,604211,32000000.0
102.0,1942.0,8.5,100.0,522093,1024560.0
87.0,1936.0,8.5,96.0,217881,163245.0
87.0,1931.0,8.5,99.0,167839,19181.0
126.0,2018.0,8.4,75.0,62635,1661096.0
106.0,2016.0,8.4,79.0,194838,5017246.0
117.0,2018.0,8.4,87.0,375110,190241310.0
181.0,2019.0,8.4,78.0,809955,858373000.0
149.0,2018.0,8.4,68.0,834477,678815482.0
105.0,2017.0,8.4,81.0,384171,209726015.0
165.0,2012.0,8.4,81.0,1357682,162805434.0
164.0,2012.0,8.4,78.0,1516346,448139099.0
170.0,2009.0,8.4,67.0,344445,6532908.0
98.0,2008.0,8.4,95.0,999790,223808164.0
137.0,2006.0,8.4,89.0,358685,11286112.0
101.0,2003.0,8.4,77.0,515451,707481.0
113.0,2000.0,8.4,80.0,1125712,25544867.0
